City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
663,La Asuncion,VE,80.49,broken clouds,11.0333,-63.8628,Colinas de Matasiete
667,Cumberland,US,85.48,clear sky,35.0502,-78.8664,American Eagle Inn
669,Dwarka,IN,83.61,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
671,Sabzevar,IR,85.28,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
673,Mabaruma,GY,82.4,broken clouds,8.2,-59.7833,Monty Brooms Guest House
678,Wageningen,NL,70.34,broken clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
683,Benjamin Aceval,PY,75.6,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
685,Kahului,US,73.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
688,Kinkala,CG,77.25,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
697,Sisophon,KH,76.69,overcast clouds,13.5859,102.9737,Pyramid Hotel
701,Antalaha,MG,73.27,clear sky,-14.9003,50.2788,Hotel Vitasoa
702,Tampilisan,PH,74.07,overcast clouds,8.0167,122.6833,Vital Nature Farm Philippines
703,Sulangan,PH,83.34,broken clouds,11.1373,123.7228,Maia's Beach Resort
704,Ghanaur,IN,78.62,moderate rain,30.3322,76.6072,Khan Tea Stall
